序号,总距离(km),城市数,路径
454,3538.00,4,北京->台北->长沙->成都
455,3539.00,4,北京->杭州->台北->成都
456,3540.00,4,北京->香港->南宁->成都
457,3540.00,4,北京->香港->长沙->成都
458,3540.00,4,北京->南京->台北->成都
459,3544.00,4,北京->台北->重庆->成都
460,3545.00,4,北京->济南->台北->成都
461,3545.00,4,北京->天津->台北->成都
462,3547.00,4,北京->石家庄->海口->成都
463,3549.00,4,北京->上海->天津->成都
464,3553.00,4,北京->南昌->石家庄->成都
465,3554.00,4,北京->太原->沈阳->成都
466,3554.00,4,北京->武汉->天津->成都
467,3556.00,4,北京->杭州->香港->成都
468,3561.00,4,北京->澳门->长沙->成都
469,3561.00,4,北京->济南->海口->成都
470,3562.00,4,北京->杭州->银川->成都
471,3564.00,4,北京->杭州->昆明->成都
472,3565.00,4,北京->杭州->澳门->成都
473,3566.00,4,北京->天津->海口->成都
474,3567.00,4,北京->台北->南昌->成都
475,3568.00,4,北京->福州->杭州->成都
476,3572.00,4,北京->海口->重庆->成都
477,3574.00,4,北京->上海->台北->成都
478,3578.00,4,北京->长沙->福州->成都
479,3580.00,4,北京->合肥->台北->成都
480,3588.00,4,北京->贵阳->武汉->成都
481,3594.00,4,北京->福州->香港->成都
482,3597.00,4,北京->长春->武汉->成都
483,3597.00,4,北京->广州->海口->成都
484,3603.00,4,北京->广州->昆明->成都
485,3604.00,4,北京->南昌->海口->成都
486,3604.00,4,北京->银川->南宁->成都
487,3605.00,4,北京->西安->杭州->成都
488,3611.00,4,北京->长沙->杭州->成都
489,3613.00,4,北京->呼和浩特->广州->成都
490,3615.00,4,北京->福州->澳门->成都
491,3625.00,4,北京->长春->合肥->成都
492,3626.00,4,北京->合肥->海口->成都
493,3630.00,4,北京->福州->台北->成都
494,3630.00,4,北京->福州->南京->成都
495,3631.00,3,北京->哈尔滨->成都
496,3631.00,4,北京->哈尔滨->太原->成都
497,3633.00,4,北京->哈尔滨->西安->成都
498,3635.00,4,北京->哈尔滨->石家庄->成都
499,3636.00,4,北京->台北->武汉->成都
500,3637.00,4,北京->太原->海口->成都
501,3637.00,4,北京->上海->南宁->成都
502,3643.00,4,北京->银川->南京->成都
503,3645.00,4,北京->贵阳->西宁->成都
504,3645.00,4,北京->哈尔滨->天津->成都
505,3646.00,4,北京->西宁->呼和浩特->成都
506,3651.00,4,北京->西宁->长沙->成都
507,3655.00,4,北京->上海->昆明->成都
508,3658.00,4,北京->西宁->武汉->成都
509,3658.00,4,北京->澳门->海口->成都
510,3661.00,4,北京->上海->香港->成都
511,3662.00,4,北京->昆明->南宁->成都
512,3663.00,4,北京->哈尔滨->长春->成都
513,3663.00,4,北京->西安->澳门->成都
514,3664.00,4,北京->重庆->太原->成都
515,3665.00,4,北京->长春->哈尔滨->成都
516,3667.00,4,北京->南宁->海口->成都
517,3671.00,4,北京->上海->澳门->成都
518,3671.00,4,北京->杭州->西宁->成都
519,3675.00,4,北京->杭州->天津->成都
520,3676.00,4,北京->重庆->广州->成都
521,3676.00,4,北京->福州->郑州->成都
522,3677.00,4,北京->上海->西宁->成都
523,3680.00,4,北京->石家庄->台北->成都
524,3688.00,4,北京->哈尔滨->沈阳->成都
525,3692.00,4,北京->兰州->南宁->成都
526,3694.00,4,北京->长春->南京->成都
