乌鲁木齐->西宁->兰州->银川->呼和浩特->太原->西安->重庆->贵阳->成都, TotalDistance=4790
乌鲁木齐->兰州->西安->武汉->长沙->贵阳->昆明->成都, TotalDistance=4792
乌鲁木齐->拉萨->昆明->贵阳->重庆->西安->成都, TotalDistance=4797
乌鲁木齐->兰州->呼和浩特->石家庄->济南->郑州->西安->重庆->成都, TotalDistance=4800
乌鲁木齐->西宁->兰州->西安->武汉->长沙->贵阳->昆明->成都, TotalDistance=4802
乌鲁木齐->兰州->西安->郑州->济南->合肥->武汉->重庆->成都, TotalDistance=4806
乌鲁木齐->兰州->银川->呼和浩特->石家庄->济南->郑州->西安->重庆->成都, TotalDistance=4809
乌鲁木齐->西宁->兰州->呼和浩特->石家庄->济南->郑州->西安->重庆->成都, TotalDistance=4810
乌鲁木齐->兰州->西安->太原->郑州->合肥->武汉->重庆->成都, TotalDistance=4810
乌鲁木齐->兰州->西安->郑州->合肥->武汉->南昌->长沙->重庆->成都, TotalDistance=4811
乌鲁木齐->兰州->西安->武汉->长沙->南宁->贵阳->成都, TotalDistance=4813
乌鲁木齐->西宁->兰州->西安->郑州->济南->合肥->武汉->重庆->成都, TotalDistance=4816
乌鲁木齐->兰州->西安->郑州->合肥->武汉->长沙->贵阳->成都, TotalDistance=4819
乌鲁木齐->西宁->兰州->西安->太原->郑州->合肥->武汉->重庆->成都, TotalDistance=4820
乌鲁木齐->兰州->西安->武汉->南昌->长沙->重庆->贵阳->成都, TotalDistance=4821
乌鲁木齐->西宁->兰州->西安->武汉->长沙->南宁->贵阳->成都, TotalDistance=4823
乌鲁木齐->兰州->西安->郑州->武汉->南昌->长沙->贵阳->重庆->成都, TotalDistance=4828
乌鲁木齐->西宁->兰州->西安->郑州->合肥->武汉->长沙->贵阳->成都, TotalDistance=4829
乌鲁木齐->西宁->兰州->西安->武汉->南昌->长沙->重庆->贵阳->成都, TotalDistance=4831
乌鲁木齐->兰州->银川->西安->武汉->南昌->长沙->贵阳->成都, TotalDistance=4834
乌鲁木齐->兰州->西安->郑州->武汉->长沙->重庆->贵阳->成都, TotalDistance=4836
乌鲁木齐->兰州->银川->西安->太原->郑州->武汉->重庆->成都, TotalDistance=4840
